UniprotID_inString,brite
P05783,Cytoskeleton proteins
P51148,Membrane trafficking
P61758,none
P05783,Cytoskeleton proteins
Q9ULW0,Chromosome and associated proteins
Q15075,Membrane trafficking
Q9Y3F4,Spliceosome
Q9UBQ5,Translation factors
Q9H4G0,Domain-containing proteins not elsewhere classified
Q14498,Spliceosome
Q9H2D6,Cytoskeleton proteins
P30086,Peptidases and inhibitors
P21281,Exosome
Q16555,none
Q8NE71,Translation factors
P40227,Chaperones and folding catalysts
Q14956,Membrane trafficking
P61088,Ubiquitin system
O75569,Chromosome and associated proteins
P06865,Chaperones and folding catalysts
Q96GK7,none
not found,#N/A
Q9ULC3,Membrane trafficking
P25205,DNA replication proteins
Q6NZI2,Transcription machinery
Q7Z3K3,Chromosome and associated proteins
Q15691,Chromosome and associated proteins
O00151,Domain-containing proteins not elsewhere classified
Q15843,Ubiquitin system
Q16643,Cilium and associated proteins
not found,#N/A
P49368,Chaperones and folding catalysts
Q15386,Ubiquitin system
Q99536,Mitochondrial biogenesis
Q15631,none
P45974,Peptidases and inhibitors
P30085,Enzymes
P28072,Peptidases and inhibitors
Q8TEM1,Messenger RNA biogenesis
P35052,Proteoglycans
P07737,Membrane trafficking
P15924,Cytoskeleton proteins
P53396,Exosome
P23919,Enzymes
P04075,Membrane trafficking
Q9ULX9,Transcription factors
not found,#N/A
O95758,Spliceosome
Q99714,Mitochondrial biogenesis
not found,#N/A
not found,#N/A
P58546,none
P20962,none
P08238,Protein phosphatases and associated proteins
not found,#N/A
not found,#N/A
Q15843,Ubiquitin system
P07093,Peptidases and inhibitors
not found,#N/A
Q8TEA8,Transfer RNA biogenesis
Q49A26,none
P62877,Ubiquitin system
O60832,Ribosome biogenesis
P06454,none
O14745,Transporters
O00754,Enzymes
Q14566,DNA replication proteins
Q99536,Mitochondrial biogenesis
not found,#N/A
P06865,Chaperones and folding catalysts
not found,#N/A
P36405,Cilium and associated proteins
Q9Y696,Exosome
Q92692,Cell adhesion molecules
Q8NBJ4,none
Q00688,Chaperones and folding catalysts
P00558,Exosome
Q9HD45,Exosome
P36405,Cilium and associated proteins
Q9UI10,Translation factors
P21796,Mitochondrial biogenesis
P27348,DNA repair and recombination proteins
Q15424,Spliceosome
O95218,Spliceosome
P51798,Protein phosphatases and associated proteins
Q96HE7,Enzymes
not found,#N/A
P21796,Mitochondrial biogenesis
P36639,DNA repair and recombination proteins
P24941,Protein kinases
O15031,none
not found,#N/A
O60749,Membrane trafficking
Q9NZI8,Spliceosome
Q9NZI8,Spliceosome
O15067,Enzymes
Q9NRN7,Enzymes
Q9GZT8,none
not found,#N/A
P04004,Exosome
O15031,none
Q8WWM7,Messenger RNA biogenesis
O95373,Ribosome biogenesis
Q13190,Membrane trafficking
Q13347,Translation factors
not found,#N/A
O00401,Membrane trafficking
P33316,DNA repair and recombination proteins
Q9Y265,Chromosome and associated proteins
Q9Y2R9,Ribosome
O00401,Membrane trafficking
P61964,Chromosome and associated proteins
P58107,none
P62273,Ribosome
not found,#N/A
not found,#N/A
P22234,Enzymes
Q15942,none
P08648,Exosome
P27708,Peptidases and inhibitors
O75828,Enzymes
Q9BSH5,none
P17301,Exosome
Q9Y490,Exosome
not found,#N/A
P09497,Membrane trafficking
Q9BQ61,DNA replication proteins
Q9BUF5,Chromosome and associated proteins
P63010,Membrane trafficking
P31040,Enzymes
P18754,Messenger RNA biogenesis
P35637,Spliceosome
P10644,none
P04406,Membrane trafficking
Q8IV08,Membrane trafficking
P52565,Exosome
Q9Y697,Transfer RNA biogenesis
P21281,Exosome
C9JLW8,none
Q9Y5K8,none
O95861,Transfer RNA biogenesis
Q86W42,Messenger RNA biogenesis
Q96T23,Chromosome and associated proteins
O43390,Spliceosome
Q14011,Spliceosome
Q9NZM1,Membrane trafficking
P31939,Exosome
not found,#N/A
Q92974,Membrane trafficking
not found,#N/A
Q96GD0,Protein phosphatases and associated proteins
Q969P0,Exosome
P24941,Protein kinases
P16949,Cytoskeleton proteins
not found,#N/A
not found,#N/A
Q9UBT2,Ubiquitin system
O15061,Cytoskeleton proteins
P10619,Peptidases and inhibitors
P30566,Enzymes
Q12959,Chromosome and associated proteins
P51452,Protein phosphatases and associated proteins
P08582,CD molecules
P20962,none
Q96HS1,Enzymes
Q96AY3,Chaperones and folding catalysts
P28482,Protein kinases
Q9UN86,Messenger RNA biogenesis
Q9NZM1,Membrane trafficking
P16144,Exosome
Q15717,Messenger RNA biogenesis
P15311,Cytoskeleton proteins
Q9Y250,none
P31153,Enzymes
not found,#N/A
Q01469,none
P27708,Peptidases and inhibitors
Q9Y371,Protein phosphatases and associated proteins
Q92575,none
Q01813,Protein phosphatases and associated proteins
P43007,Transporters
Q04917,Protein phosphatases and associated proteins
P00568,Exosome
Q13177,Protein kinases
P50990,Chaperones and folding catalysts
Q8WTV0,Membrane trafficking
P52565,Exosome
not found,#N/A
Q9Y490,Exosome
P82979,Messenger RNA biogenesis
Q99653,Protein phosphatases and associated proteins
P62942,Chaperones and folding catalysts
Q9Y281,Membrane trafficking
P08758,Exosome
Q07157,Cytoskeleton proteins
Q9Y282,Membrane trafficking
P67870,Ribosome biogenesis
Q9Y2W2,Protein phosphatases and associated proteins
P40925,Enzymes
Q93050,Exosome
P51398,Ribosome
Q9NR12,Domain-containing proteins not elsewhere classified
Q15365,Messenger RNA biogenesis
P27816,Cytoskeleton proteins
Q9UBB5,Chromosome and associated proteins
not found,#N/A
P55265,Spliceosome
Q9Y224,Transfer RNA biogenesis
Q12931,Chaperones and folding catalysts
Q9UHV9,Chaperones and folding catalysts
O43175,Exosome
O95747,Protein kinases
O00422,Messenger RNA biogenesis
Q99959,none
O15400,Membrane trafficking
P38606,Enzymes
P43007,Transporters
O00299,Exosome
P31150,Exosome
Q9Y285,Amino acid related enzymes
P13489,none
P49916,DNA repair and recombination proteins
not found,#N/A
P53041,Protein phosphatases and associated proteins
P07686,Chaperones and folding catalysts
Q13596,Membrane trafficking
Q969P0,Exosome
P31948,Chaperones and folding catalysts
Q96EY7,Mitochondrial biogenesis
Q9HB71,none
Q96JM3,Chromosome and associated proteins
P24941,Protein kinases
P82675,Ribosome
P11142,Protein phosphatases and associated proteins
Q92544,Exosome
Q9BTT6,none
Q96GK7,none
O94919,none
P84103,Spliceosome
Q96CM8,Lipid biosynthesis proteins
Q96HS1,Enzymes
O15230,none
Q14789,Membrane trafficking
P21281,Exosome
P50213,Enzymes
Q9NZI8,Spliceosome
P33993,Protein phosphatases and associated proteins
Q9P2B2,Exosome
Q9UBI6,Exosome
P61764,Membrane trafficking
P07858,Peptidases and inhibitors
Q96HE7,Enzymes
P04075,Membrane trafficking
Q9ULV4,Cytoskeleton proteins
P05783,Cytoskeleton proteins
O94919,none
P31153,Enzymes
not found,#N/A
P21291,Transcription factors
P26006,Exosome
Q07954,Membrane trafficking
P57729,Membrane trafficking
Q01518,Membrane trafficking
P20962,none
P31689,Chaperones and folding catalysts
Q9P2E9,none
Q03154,Peptidases and inhibitors
P16152,Enzymes
not found,#N/A
P14923,Exosome
O15355,Protein phosphatases and associated proteins
Q86Y82,Membrane trafficking
P45877,Chaperones and folding catalysts
Q8WZA0,none
not found,#N/A
not found,#N/A
not found,#N/A
P32119,Exosome
P51159,Membrane trafficking
P17931,Exosome
P15927,DNA replication proteins
Q9ULX9,Transcription factors
Q04323,none
K7ENT6,#N/A
P07711,Peptidases and inhibitors
Q8WWM7,Messenger RNA biogenesis
P38606,Enzymes
P36543,none
Q3ZCQ8,Mitochondrial biogenesis
P31939,Exosome
Q32P28,Chaperones and folding catalysts
Q9UN37,Membrane trafficking
P11142,Protein phosphatases and associated proteins
not found,#N/A
O14617,Membrane trafficking
not found,#N/A
P06396,Cytoskeleton proteins
O43795,Protein phosphatases and associated proteins
P10619,Peptidases and inhibitors
Q9H1A3,none
Q07157,Cytoskeleton proteins
not found,#N/A
Q9NPE3,Ribosome biogenesis
Q9HBH5,Enzymes
P13804,Exosome
P14174,Exosome
Q6IBS0,Cilium and associated proteins
Q03252,Cytoskeleton proteins
P51159,Membrane trafficking
P06132,Enzymes
P08133,Membrane trafficking
P28482,Protein kinases
P18669,Membrane trafficking
not found,#N/A
Q9NZM1,Membrane trafficking
Q9NVP1,Spliceosome
O60568,Glycosyltransferases
O94874,Ubiquitin system
Q9UNF1,Domain-containing proteins not elsewhere classified
Q8NE86,Mitochondrial biogenesis
P60174,Exosome
not found,#N/A
not found,#N/A
P62857,Ribosome
P18669,Membrane trafficking
P28482,Protein kinases
P09104,Messenger RNA biogenesis
O60488,Lipid biosynthesis proteins
not found,#N/A
Q9UNF0,Membrane trafficking
P61970,none
Q15121,none
Q9H299,Domain-containing proteins not elsewhere classified
Q05655,Protein kinases
P07195,Exosome
P28482,Protein kinases
P11216,Enzymes
P07858,Peptidases and inhibitors
P61026,Membrane trafficking
O15355,Protein phosphatases and associated proteins
Q15287,Messenger RNA biogenesis
Q04760,Enzymes
Q9NRL2,Chromosome and associated proteins
O60888,none
Q9NZM1,Membrane trafficking
O00560,Exosome
P25398,Ribosome
P28482,Protein kinases
P37840,Membrane trafficking
Q02809,Exosome
P16144,Exosome
P05783,Cytoskeleton proteins
P27348,DNA repair and recombination proteins
Q99523,none
P20340,Membrane trafficking
O14672,Peptidases and inhibitors
Q16222,Enzymes
Q96C86,Messenger RNA biogenesis
O00178,Messenger RNA biogenesis
Q8TAT6,Ribosome biogenesis
not found,#N/A
O95573,Lipid biosynthesis proteins
O75683,none
O95573,Lipid biosynthesis proteins
P13073,none
P28482,Protein kinases
Q9Y394,Enzymes
Q16762,Enzymes
Q9NWH9,Domain-containing proteins not elsewhere classified
O94804,Protein kinases
Q9Y3D0,none
Q96GC5,Ribosome
Q12846,Membrane trafficking
not found,#N/A
P40227,Chaperones and folding catalysts
P50454,Peptidases and inhibitors
not found,#N/A
Q9ULX9,Transcription factors
P40925,Enzymes
P16152,Enzymes
O75663,Protein phosphatases and associated proteins
Q09666,none
Q9H0E2,Exosome
P30101,Chaperones and folding catalysts
not found,#N/A
not found,#N/A
P13010,DNA repair and recombination proteins
P78371,Chaperones and folding catalysts
not found,#N/A
O00625,Enzymes
Q9H9P8,Enzymes
not found,#N/A
O75347,Cytoskeleton proteins
Q9Y371,Protein phosphatases and associated proteins
Q99536,Mitochondrial biogenesis
not found,#N/A
P23919,Enzymes
Q9Y5K8,none
O00401,Membrane trafficking
P19623,Enzymes
P35579,Cytoskeleton proteins
Q9Y3L5,GTP-binding proteins
O15143,Membrane trafficking
not found,#N/A
Q16222,Enzymes
not found,#N/A
P36543,none
P14174,Exosome
P08758,Exosome
P26006,Exosome
P12814,Membrane trafficking
P61163,Chromosome and associated proteins
P08758,Exosome
Q99426,Cytoskeleton proteins
Q9UBM7,Enzymes
not found,#N/A
P16152,Enzymes
P05026,CD molecules
P82914,Ribosome
Q14956,Membrane trafficking
O94919,none
P07195,Exosome
Q15075,Membrane trafficking
Q9P2E9,none
Q9NVD7,Cytoskeleton proteins
O14964,Membrane trafficking
O14773,Peptidases and inhibitors
P09417,Enzymes
Q13596,Membrane trafficking
Q9NWH9,Domain-containing proteins not elsewhere classified
Q01518,Membrane trafficking
Q6YN16,none
P07858,Peptidases and inhibitors
Q9NRL2,Chromosome and associated proteins
O75083,Domain-containing proteins not elsewhere classified
H0Y4K8,#N/A
Q14204,Chromosome and associated proteins
not found,#N/A
D3YTI2,#N/A
P60842,Messenger RNA biogenesis
P07093,Peptidases and inhibitors
Q09666,none
P07355,Membrane trafficking
Q16555,none
P20674,none
P08581,Protein kinases
P16152,Enzymes
Q15942,none
P84090,none
Q9Y624,CD molecules
Q8WUY1,none
P06396,Cytoskeleton proteins
P48735,Enzymes
P28482,Protein kinases
Q6KC79,Chromosome and associated proteins
P08581,Protein kinases
Q09028,Chromosome and associated proteins
P57105,Membrane trafficking
P61421,none
P26038,Cytoskeleton proteins
O43432,Messenger RNA biogenesis
J3QKM9,#N/A
Q16763,Ubiquitin system
O00469,Enzymes
Q9H6Z4,none
P07737,Membrane trafficking
Q14126,Cell adhesion molecules
Q92973,Messenger RNA biogenesis
P23786,Enzymes
Q15165,Exosome
Q9BYD2,Ribosome
P43686,Proteasome
O95218,Spliceosome
Q99460,Proteasome
O95573,Lipid biosynthesis proteins
P11766,Enzymes
P58107,none
P11142,Protein phosphatases and associated proteins
P13674,Enzymes
Q9Y281,Membrane trafficking
O75347,Cytoskeleton proteins
P61088,Ubiquitin system
not found,#N/A
O00231,Proteasome
Q07817,Protein phosphatases and associated proteins
O00232,Proteasome
P08133,Membrane trafficking
P36543,none
Q14956,Membrane trafficking
O00487,Peptidases and inhibitors
P00505,Amino acid related enzymes
P48556,Proteasome
P26583,Chromosome and associated proteins
P55735,Messenger RNA biogenesis
P10155,none
Q8WZA0,none
Q96I99,Exosome
P08581,Protein kinases
P36551,Enzymes
P20645,Exosome
Q9Y490,Exosome
P12277,Exosome
Q01650,Transporters
P31949,Domain-containing proteins not elsewhere classified
P09104,Messenger RNA biogenesis
Q15417,none
Q8WTV0,Membrane trafficking
Q6PIU2,Peptidases and inhibitors
not found,#N/A
O00625,Enzymes
not found,#N/A
P61764,Membrane trafficking
O95573,Lipid biosynthesis proteins
Q16775,Enzymes
P12956,Spliceosome
P08581,Protein kinases
P22695,Peptidases and inhibitors
P51149,Membrane trafficking
Q14315,Cytoskeleton proteins
P13489,none
O75083,Domain-containing proteins not elsewhere classified
O60610,Cytoskeleton proteins
P26006,Exosome
P57740,Messenger RNA biogenesis
P11216,Enzymes
not found,#N/A
P09110,Enzymes
Q13443,Peptidases and inhibitors
O94925,Enzymes
not found,#N/A
Q15942,none
not found,#N/A
Q9BV86,Enzymes
P05783,Cytoskeleton proteins
Q9NY93,Ribosome biogenesis
P61163,Chromosome and associated proteins
Q9UQB8,Membrane trafficking
P05783,Cytoskeleton proteins
Q9H3S7,Protein phosphatases and associated proteins
P42126,Enzymes
Q969H8,none
Q92520,none
not found,#N/A
P35221,Cytoskeleton proteins
not found,#N/A
Q14978,Transcription machinery
Q969X6,Ribosome biogenesis
Q969P0,Exosome
P05783,Cytoskeleton proteins
P35222,none
P14923,Exosome
O95573,Lipid biosynthesis proteins
P49748,Enzymes
P49368,Chaperones and folding catalysts
Q9UKV3,Messenger RNA biogenesis
O75935,Chromosome and associated proteins
O75935,Chromosome and associated proteins
not found,#N/A
Q14BN4,none
Q92667,Protein phosphatases and associated proteins
Q92572,Membrane trafficking
Q9UJZ1,Transporters
not found,#N/A
Q92974,Membrane trafficking
P13797,DNA repair and recombination proteins
P19623,Enzymes
Q92575,none
P16615,Enzymes
P21333,Cytoskeleton proteins
P19623,Enzymes
not found,#N/A
not found,#N/A
P21281,Exosome
Q9NRL2,Chromosome and associated proteins
Q9UQB8,Membrane trafficking
Q9UHR4,Membrane trafficking
Q8IWB7,Membrane trafficking
not found,#N/A
P06396,Cytoskeleton proteins
P48643,Chaperones and folding catalysts
not found,#N/A
Q92974,Membrane trafficking
Q6PL18,Enzymes
not found,#N/A
not found,#N/A
P12814,Membrane trafficking
Q9H0A0,Ribosome biogenesis
A3KMH1,Domain-containing proteins not elsewhere classified
P26006,Exosome
Q05682,Cytoskeleton proteins
Q99653,Protein phosphatases and associated proteins
Q9NQR4,Enzymes
Q05682,Cytoskeleton proteins
O00244,none
not found,#N/A
P42704,Mitochondrial biogenesis
Q9Y4I1,Messenger RNA biogenesis
Q16836,Enzymes
not found,#N/A
P36551,Enzymes
P61981,Protein phosphatases and associated proteins
Q9Y673,Glycosyltransferases
O75396,Membrane trafficking
not found,#N/A
not found,#N/A
Q8WVQ1,Enzymes
P36543,none
Q01518,Membrane trafficking
P09972,Membrane trafficking
P07384,Peptidases and inhibitors
P49593,Protein phosphatases and associated proteins
O00410,Ribosome biogenesis
Q9NPL8,Mitochondrial biogenesis
Q02218,Enzymes
Q92925,Transcription machinery
Q15075,Membrane trafficking
P83916,Chromosome and associated proteins
Q14315,Cytoskeleton proteins
Q9UDY2,none
Q13561,Chromosome and associated proteins
Q13951,none
P35637,Spliceosome
P09758,Exosome
P52789,Membrane trafficking
Q99497,Peptidases and inhibitors
Q8TCS8,Messenger RNA biogenesis
Q14739,Chromosome and associated proteins
Q7Z2K6,none
Q8IWB7,Membrane trafficking
P21926,Cilium and associated proteins
not found,#N/A
Q9NRL2,Chromosome and associated proteins
P36551,Enzymes
not found,#N/A
P31930,Peptidases and inhibitors
P11216,Enzymes
Q14008,Chromosome and associated proteins
Q13217,Chaperones and folding catalysts
P33121,Lipid biosynthesis proteins
O00244,none
Q13510,Peptidases and inhibitors
Q12931,Chaperones and folding catalysts
Q9Y281,Membrane trafficking
O15460,Enzymes
P04406,Membrane trafficking
P27144,Exosome
Q9BWM7,Mitochondrial biogenesis
Q9BV86,Enzymes
Q16775,Enzymes
P07195,Exosome
P36776,Peptidases and inhibitors
Q6IBS0,Cilium and associated proteins
not found,#N/A
Q9UKX7,Messenger RNA biogenesis
Q9UNS2,Ubiquitin system
Q99627,Ubiquitin system
Q96HE7,Enzymes
not found,#N/A
Q13885,Chromosome and associated proteins
O75348,none
Q9UBM7,Enzymes
P13804,Exosome
Q969P0,Exosome
P53396,Exosome
P06396,Cytoskeleton proteins
P07339,Peptidases and inhibitors
Q9BQC6,none
not found,#N/A
O95573,Lipid biosynthesis proteins
Q9Y697,Transfer RNA biogenesis
Q92930,Membrane trafficking
not found,#N/A
not found,#N/A
Q8NBJ5,Glycosyltransferases
Q99653,Protein phosphatases and associated proteins
P31483,Messenger RNA biogenesis
Q5TCU3,#N/A
Q13561,Chromosome and associated proteins
Q13561,Chromosome and associated proteins
Q8NHP8,none
Q8NBM4,Ubiquitin system
not found,#N/A
P06396,Cytoskeleton proteins
O75935,Chromosome and associated proteins
P55011,Protein phosphatases and associated proteins
not found,#N/A
Q9NUJ1,Peptidases and inhibitors
not found,#N/A
O15143,Membrane trafficking
O75937,Spliceosome
P35579,Cytoskeleton proteins
O43765,Chaperones and folding catalysts
Q16555,none
O00469,Enzymes
P51159,Membrane trafficking
Q14126,Cell adhesion molecules
Q9Y303,Enzymes
P51398,Ribosome
P82930,Ribosome
O15127,Membrane trafficking
P15924,Cytoskeleton proteins
not found,#N/A
Q7Z7H5,Membrane trafficking
P11233,Membrane trafficking
P54819,Exosome
Q96FQ6,Domain-containing proteins not elsewhere classified
Q8TEA8,Transfer RNA biogenesis
P43007,Transporters
Q14204,Chromosome and associated proteins
Q13740,Cell adhesion molecules
Q06124,Protein phosphatases and associated proteins
Q8IX01,Spliceosome
P57729,Membrane trafficking
O75347,Cytoskeleton proteins
Q15417,none
P06865,Chaperones and folding catalysts
P17900,Exosome
not found,#N/A
P78417,Transporters
Q02809,Exosome
P21281,Exosome
not found,#N/A
P08727,Cytoskeleton proteins
Q9Y6G9,Membrane trafficking
P36543,none
Q92575,none
Q12765,Peptidases and inhibitors
P31949,Domain-containing proteins not elsewhere classified
Q14315,Cytoskeleton proteins
Q99590,none
P23284,Chaperones and folding catalysts
not found,#N/A
Q13011,Enzymes
P52789,Membrane trafficking
Q14152,Translation factors
Q6IBS0,Cilium and associated proteins
P58107,none
O15371,Translation factors
O43765,Chaperones and folding catalysts
P60228,Translation factors
O75323,none
P04406,Membrane trafficking
P13473,Membrane trafficking
P51572,none
O00303,Translation factors
Q8WWB7,none
O75821,Translation factors
P08195,Transporters
Q9Y262,Translation factors
O75348,none
not found,#N/A
Q7L2H7,Translation factors
P05783,Cytoskeleton proteins
Q99797,Peptidases and inhibitors
Q9H3N1,none
P60842,Messenger RNA biogenesis
Q9BS26,Membrane trafficking
P62495,Messenger RNA biogenesis
Q96TC7,Membrane trafficking
P82933,Ribosome
not found,#N/A
P15531,Membrane trafficking
O00469,Enzymes
Q07955,Spliceosome
not found,#N/A
Q9HCC0,Enzymes
Q9Y624,CD molecules
not found,#N/A
Q6WCQ1,Domain-containing proteins not elsewhere classified
P55011,Protein phosphatases and associated proteins
C9JNT3,#N/A
O00299,Exosome
O00422,Messenger RNA biogenesis
P21333,Cytoskeleton proteins
Q9GZR2,Ribosome biogenesis
Q14315,Cytoskeleton proteins
P21283,none
H0Y4K8,#N/A
P04899,Exosome
not found,#N/A
P00558,Exosome
Q49A26,none
P15924,Cytoskeleton proteins
Q9Y5S9,Messenger RNA biogenesis
Q9H7Z7,Enzymes
O15061,Cytoskeleton proteins
not found,#N/A
not found,#N/A
P23526,Protein phosphatases and associated proteins
P62873,Exosome
P00558,Exosome
Q08379,Membrane trafficking
Q8NBJ4,none
Q8WWC4,none
Q9Y446,none
Q10713,Peptidases and inhibitors
O75828,Enzymes
P07108,none
P10768,Enzymes
not found,#N/A
P08758,Exosome
not found,#N/A
Q9NQ88,Enzymes
H0YCD9,#N/A
P61981,Protein phosphatases and associated proteins
Q9H9P8,Enzymes
P30519,Enzymes
P29372,DNA repair and recombination proteins
Q9BUF5,Chromosome and associated proteins
P60660,Cytoskeleton proteins
P51116,Messenger RNA biogenesis
Q13596,Membrane trafficking
P78417,Transporters
P28838,Peptidases and inhibitors
not found,#N/A
O94925,Enzymes
K7ENT6,#N/A
Q9UI30,Transfer RNA biogenesis
P31943,Spliceosome
Q6FI81,none
O15061,Cytoskeleton proteins
P43304,Enzymes
Q9Y624,CD molecules
not found,#N/A
P13693,none
Q9NPL8,Mitochondrial biogenesis
Q15061,Ribosome biogenesis
Q96C86,Messenger RNA biogenesis
not found,#N/A
P10809,Messenger RNA biogenesis
Q6PI48,Amino acid related enzymes
P61604,Chaperones and folding catalysts
Q9NYL9,Cytoskeleton proteins
Q13418,Protein kinases
Q9NQ88,Enzymes
P08648,Exosome
P27144,Exosome
Q6PKG0,Messenger RNA biogenesis
P25685,Chaperones and folding catalysts
O95239,Cytoskeleton proteins
O43795,Protein phosphatases and associated proteins
Q9UHB6,Cytoskeleton proteins
P52292,Chromosome and associated proteins
not found,#N/A
Q14974,Ribosome biogenesis
Q9HD45,Exosome
P08727,Cytoskeleton proteins
not found,#N/A
P38606,Enzymes
P46976,Glycosyltransferases
P33316,DNA repair and recombination proteins
Q07157,Cytoskeleton proteins
P50454,Peptidases and inhibitors
P30626,Domain-containing proteins not elsewhere classified
P49006,none
not found,#N/A
not found,#N/A
Q9Y2U8,Cytoskeleton proteins
P61106,Membrane trafficking
not found,#N/A
P00558,Exosome
not found,#N/A
not found,#N/A
P09382,Exosome
Q8NFQ8,Chaperones and folding catalysts
C9JNT3,#N/A
Q15365,Messenger RNA biogenesis
Q32P28,Chaperones and folding catalysts
not found,#N/A
P48059,Domain-containing proteins not elsewhere classified
Q14BN4,none
Q9NUP9,Membrane trafficking
Q9ULC3,Membrane trafficking
Q96KP4,Peptidases and inhibitors
P20700,Cytoskeleton proteins
not found,#N/A
Q14011,Spliceosome
Q07954,Membrane trafficking
Q07817,Protein phosphatases and associated proteins
P04080,Peptidases and inhibitors
P15531,Membrane trafficking
Q8NCW5,Enzymes
not found,#N/A
P30084,Enzymes
P42704,Mitochondrial biogenesis
not found,#N/A
O15400,Membrane trafficking
P10620,Transporters
P07093,Peptidases and inhibitors
P08729,Cytoskeleton proteins
not found,#N/A
not found,#N/A
Q9UHB6,Cytoskeleton proteins
not found,#N/A
Q99497,Peptidases and inhibitors
P57729,Membrane trafficking
Q9Y3B7,Ribosome
Q9BYD1,Ribosome
Q9H307,Messenger RNA biogenesis
Q6P1M0,Lipid biosynthesis proteins
P15531,Membrane trafficking
O75475,Spliceosome
P61970,none
P26038,Cytoskeleton proteins
P78417,Transporters
Q9P2B2,Exosome
not found,#N/A
Q92614,Membrane trafficking
not found,#N/A
P31937,Enzymes
Q96GC5,Ribosome
Q9Y266,Chromosome and associated proteins
O00116,Enzymes
P06132,Enzymes
P51159,Membrane trafficking
not found,#N/A
Q6PL18,Enzymes
Q9H9A6,none
Q9NYF8,Spliceosome
P16152,Enzymes
Q13438,Lectins
not found,#N/A
not found,#N/A
not found,#N/A
Q08379,Membrane trafficking
Q96IU4,Peptidases and inhibitors
Q9UMY4,Membrane trafficking
Q9H6R4,Ribosome biogenesis
Q16822,Enzymes
not found,#N/A
not found,#N/A
P39687,Messenger RNA biogenesis
P14174,Exosome
Q15121,none
Q9UJZ1,Transporters
Q13596,Membrane trafficking
Q99496,Ubiquitin system
not found,#N/A
P32119,Exosome
P07737,Membrane trafficking
Q14978,Transcription machinery
not found,#N/A
O00264,Exosome
Q99959,none
Q9Y446,none
O43707,Membrane trafficking
not found,#N/A
O00178,Messenger RNA biogenesis
P09972,Membrane trafficking
not found,#N/A
Q9Y653,Peptidases and inhibitors
Q9Y263,none
Q02318,Cytochrome P450
Q8WWC4,none
Q13510,Peptidases and inhibitors
H0YKX5,#N/A
P07203,Enzymes
P19623,Enzymes
Q9H299,Domain-containing proteins not elsewhere classified
Q9Y2R5,Ribosome
P19623,Enzymes
O60664,Membrane trafficking
P36873,Protein phosphatases and associated proteins
not found,#N/A
Q96DA6,Chaperones and folding catalysts
not found,#N/A
P30084,Enzymes
P30085,Enzymes
Q9H2D6,Cytoskeleton proteins
P05026,CD molecules
P11279,Membrane trafficking
not found,#N/A
Q16831,Enzymes
P10644,none
not found,#N/A
not found,#N/A
P17275,Transcription factors
Q9NSE4,Amino acid related enzymes
P46087,Ribosome biogenesis
Q14157,Ubiquitin system
P20340,Membrane trafficking
P10155,none
O00170,Mitochondrial biogenesis
Q9NYL9,Cytoskeleton proteins
O75348,none
O00625,Enzymes
Q8IX01,Spliceosome
Q15388,Mitochondrial biogenesis
O15460,Enzymes
O00625,Enzymes
Q09666,none
O75880,Mitochondrial biogenesis
P13674,Enzymes
Q9H299,Domain-containing proteins not elsewhere classified
O43719,Spliceosome
Q6UVK1,Proteoglycans
not found,#N/A
P11216,Enzymes
Q6PIU2,Peptidases and inhibitors
not found,#N/A
Q96RQ3,Enzymes
P43490,Enzymes
P35080,Membrane trafficking
P38606,Enzymes
Q9Y490,Exosome
not found,#N/A
Q99460,Proteasome
Q12905,Spliceosome
O00232,Proteasome
not found,#N/A
not found,#N/A
O14773,Peptidases and inhibitors
Q01650,Transporters
Q04695,Cytoskeleton proteins
P30626,Domain-containing proteins not elsewhere classified
P63244,Messenger RNA biogenesis
not found,#N/A
P43487,none
P08758,Exosome
Q9Y3D0,none
P40926,Enzymes
Q7Z3T8,Protein phosphatases and associated proteins
O00487,Peptidases and inhibitors
not found,#N/A
O94925,Enzymes
Q13200,Proteasome
not found,#N/A
Q02218,Enzymes
not found,#N/A
P37108,Secretion system
P61764,Membrane trafficking
P29218,Enzymes
P04899,Exosome
Q9NQC3,Membrane trafficking
O14773,Peptidases and inhibitors
Q9H7Z7,Enzymes
P33121,Lipid biosynthesis proteins
Q16775,Enzymes
not found,#N/A
P09382,Exosome
P61026,Membrane trafficking
P38117,none
Q14956,Membrane trafficking
P61106,Membrane trafficking
P07711,Peptidases and inhibitors
P08729,Cytoskeleton proteins
not found,#N/A
P12235,Mitochondrial biogenesis
not found,#N/A
P20340,Membrane trafficking
A3KMH1,Domain-containing proteins not elsewhere classified
Q92930,Membrane trafficking
Q96J01,Messenger RNA biogenesis
P12814,Membrane trafficking
Q96CM8,Lipid biosynthesis proteins
not found,#N/A
not found,#N/A
P11166,Transporters
Q8NHP8,none
Q13596,Membrane trafficking
P08758,Exosome
P08195,Transporters
Q9UBB5,Chromosome and associated proteins
Q13439,Membrane trafficking
Q9UNN5,none
Q9Y3D3,Ribosome
P42126,Enzymes
P31939,Exosome
P40121,Cytoskeleton proteins
P05783,Cytoskeleton proteins
P00403,Mitochondrial biogenesis
Q14126,Cell adhesion molecules
P40121,Cytoskeleton proteins
P08758,Exosome
O75792,DNA replication proteins
not found,#N/A
Q96KP4,Peptidases and inhibitors
P07195,Exosome
P19623,Enzymes
P07203,Enzymes
Q96FS4,none
